TYPE,ID,COPIES,BIN,STACK,X,Y,Z,LX,LY,LZ,GROUP_ID
ITEM,2,1,0,17,10470,0,1860,1000,1200,975,0
STACK,18,1,0,18,11440,1208,0,1000,1200,2835,
ITEM,2,1,0,18,11440,1208,0,1000,1200,975,0
ITEM,2,1,0,18,11440,1208,930,1000,1200,975,0
ITEM,2,1,0,18,11440,1208,1860,1000,1200,975,0
STACK,19,1,0,19,11470,0,0,1000,1200,2835,
ITEM,3,1,0,19,11470,0,0,1000,1200,975,0
ITEM,3,1,0,19,11470,0,930,1000,1200,975,0
ITEM,8,1,0,19,11470,0,1860,1000,1200,975,0
STACK,20,1,0,20,12440,1208,0,1000,1200,2835,
ITEM,2,1,0,20,12440,1208,0,1000,1200,975,0
ITEM,2,1,0,20,12440,1208,930,1000,1200,975,0
ITEM,8,1,0,20,12440,1208,1860,1000,1200,975,0
STACK,21,1,0,21,12470,0,0,1000,1200,2835,
ITEM,2,1,0,21,12470,0,0,1000,1200,975,0
ITEM,4,1,0,21,12470,0,930,1000,1200,975,0
ITEM,4,1,0,21,12470,0,1860,1000,1200,975,0
