Path,Best known solution value,Best known bound,Wei2013 / Solution value
pisinger2005/MB_C3_10,9073,7429,9073
pisinger2005/MB_C3_11,9404,8968,9488
pisinger2005/MB_C3_12,12275,11400,12520
pisinger2005/MB_C3_13,16238,14528,16339
pisinger2005/MB_C3_14,14641,13178,15094
pisinger2005/MB_C3_15,17404,15103,18220
pisinger2005/MB_C3_16,12351,11156,12602
pisinger2005/MB_C3_17,12644,11622,12769
pisinger2005/MB_C3_18,17911,15902,17920
pisinger2005/MB_C3_19,11200,10712,11640
pisinger2005/MB_C3_20,11388,10766,11691
pisinger2005/MB_C3_21,25133,21570,25133
pisinger2005/MB_C3_22,19622,18220,20104
pisinger2005/MB_C3_23,20782,19664,21198
pisinger2005/MB_C3_24,22391,19663,23021
pisinger2005/MB_C3_25,18512,17408,19200
pisinger2005/MB_C3_26,19024,17703,19509
pisinger2005/MB_C3_27,16922,15937,17011
pisinger2005/MB_C3_28,21985,20455,22530
pisinger2005/MB_C3_29,19302,18512,19762
pisinger2005/MB_C3_30,24682,23294,26053
pisinger2005/MB_C3_31,25006,24258,25896
pisinger2005/MB_C3_32,27134,25445,27744
pisinger2005/MB_C3_33,27226,24830,27794
pisinger2005/MB_C3_34,26987,26128,28425
pisinger2005/MB_C3_35,26108,24958,26302
pisinger2005/MB_C3_36,29407,27464,30681
pisinger2005/MB_C3_37,30555,29040,32735
pisinger2005/MB_C3_38,34072,28864,34492
pisinger2005/MB_C3_39,32744,29756,34368
pisinger2005/MB_C3_40,28084,25943,29421
pisinger2005/MB_C3_41,29430,28723,30633
pisinger2005/MB_C3_42,34996,33240,36093
pisinger2005/MB_C3_43,29383,28224,30603
pisinger2005/MB_C3_44,31156,30525,32244
pisinger2005/MB_C3_45,33264,32328,35096
pisinger2005/MB_C3_46,40579,36763,41066
pisinger2005/MB_C3_47,30541,29445,31812
pisinger2005/MB_C3_48,35003,33424,36147
pisinger2005/MB_C3_49,32652,31501,33883
pisinger2005/MB_C3_50,40806,37188,44840
pisinger2005/MB_C4_1,8300,8300,8300
pisinger2005/MB_C4_2,4830,4830,4830
pisinger2005/MB_C4_3,7425,7425,7425
pisinger2005/MB_C4_4,5280,5280,5280
pisinger2005/MB_C4_5,6370,6370,6370
pisinger2005/MB_C4_6,9073,7671,9073
pisinger2005/MB_C4_7,5880,5880,5880
pisinger2005/MB_C4_8,5310,5310,5310
pisinger2005/MB_C4_9,7020,7020,7020
pisinger2005/MB_C4_10,8160,8160,8160
pisinger2005/MB_C4_11,9112,9112,10000
pisinger2005/MB_C4_12,12155,12155,12155
pisinger2005/MB_C4_13,15115,15115,15115
pisinger2005/MB_C4_14,15589,15589,15589
pisinger2005/MB_C4_15,15877,15114,15877
pisinger2005/MB_C4_16,13491,13491,13491
pisinger2005/MB_C4_17,12383,11780,12383
pisinger2005/MB_C4_18,16290,15906,16631
pisinger2005/MB_C4_19,11160,11160,11160
pisinger2005/MB_C4_20,11400,10870,11400
pisinger2005/MB_C4_21,21841,21581,22235
pisinger2005/MB_C4_22,18522,18284,18547
pisinger2005/MB_C4_23,20000,19671,20148
pisinger2005/MB_C4_24,19866,19720,20000
pisinger2005/MB_C4_25,17908,17908,17908
pisinger2005/MB_C4_26,17943,17754,18380
pisinger2005/MB_C4_27,16241,15940,16241
pisinger2005/MB_C4_28,20988,20494,20988
pisinger2005/MB_C4_29,19080,18632,19080
pisinger2005/MB_C4_30,23758,23294,23940
pisinger2005/MB_C4_31,24592,24320,24592
pisinger2005/MB_C4_32,25767,25472,26035
pisinger2005/MB_C4_33,25112,24930,25115
pisinger2005/MB_C4_34,26595,26144,26676
pisinger2005/MB_C4_35,25455,25163,25455
pisinger2005/MB_C4_36,27841,27464,28180
pisinger2005/MB_C4_37,29472,29105,29818
pisinger2005/MB_C4_38,29337,28930,29590
pisinger2005/MB_C4_39,30375,29800,30588
pisinger2005/MB_C4_40,26656,25955,26656
pisinger2005/MB_C4_41,29207,29207,29207
pisinger2005/MB_C4_42,33668,33288,33883
pisinger2005/MB_C4_43,28672,28267,28672
pisinger2005/MB_C4_44,30991,30680,31093
pisinger2005/MB_C4_45,32797,32370,32910
pisinger2005/MB_C4_46,37279,36810,37620
pisinger2005/MB_C4_47,29800,29484,30000
pisinger2005/MB_C4_48,34198,33466,34198
pisinger2005/MB_C4_49,31863,31524,31909
pisinger2005/MB_C4_50,37624,37198,38011
pisinger2005/MB_C5_1,67888,53802,68873
pisinger2005/MB_C5_2,37746,32476,37746
pisinger2005/MB_C5_3,66072,55268,66072
pisinger2005/MB_C5_4,44739,39227,44739
pisinger2005/MB_C5_5,50000,43808,50892
pisinger2005/MB_C5_6,73352,60249,73352
pisinger2005/MB_C5_7,51973,43770,51973
pisinger2005/MB_C5_8,48590,40546,50000
pisinger2005/MB_C5_9,66042,53286,66042
pisinger2005/MB_C5_10,69172,58700,69172
pisinger2005/MB_C5_11,75298,69535,80000
pisinger2005/MB_C5_12,100000,89712,100824
pisinger2005/MB_C5_13,131765,115380,136975
pisinger2005/MB_C5_14,116543,104283,119071
pisinger2005/MB_C5_15,132250,119024,133869
pisinger2005/MB_C5_16,99278,87792,100352
pisinger2005/MB_C5_17,96448,90639,97184
pisinger2005/MB_C5_18,158488,125092,158488
pisinger2005/MB_C5_19,92098,83980,96437
pisinger2005/MB_C5_20,100000,84534,100294
pisinger2005/MB_C5_21,186964,170660,189306
pisinger2005/MB_C5_22,155933,144221,159565
pisinger2005/MB_C5_23,172715,154680,180466
pisinger2005/MB_C5_24,183406,154926,188203
pisinger2005/MB_C5_25,145278,136652,150166
pisinger2005/MB_C5_26,149165,138657,157205
pisinger2005/MB_C5_27,139288,124612,143932
pisinger2005/MB_C5_28,175170,161090,181465
pisinger2005/MB_C5_29,153600,145152,157216
pisinger2005/MB_C5_30,210928,183568,212678
pisinger2005/MB_C5_31,206369,190251,216053
pisinger2005/MB_C5_32,214179,200789,222305
pisinger2005/MB_C5_33,225000,195188,230456
pisinger2005/MB_C5_34,220018,204488,223526
pisinger2005/MB_C5_35,213352,196230,228468
pisinger2005/MB_C5_36,233997,215712,242376
pisinger2005/MB_C5_37,248248,227546,252102
pisinger2005/MB_C5_38,247888,228692,256058
pisinger2005/MB_C5_39,260559,234560,267562
pisinger2005/MB_C5_40,223775,203712,228280
pisinger2005/MB_C5_41,238122,225668,245940
pisinger2005/MB_C5_42,279929,261774,290000
pisinger2005/MB_C5_43,233018,222057,241556
pisinger2005/MB_C5_44,253132,240024,261014
pisinger2005/MB_C5_45,269970,254217,279211
pisinger2005/MB_C5_46,314629,289969,323699
pisinger2005/MB_C5_47,246575,231135,255599
pisinger2005/MB_C5_48,288628,262880,300000
pisinger2005/MB_C5_49,264746,249113,273978
pisinger2005/MB_C5_50,321197,292519,330653
pisinger2005/MB_C6_1,62928,62928,62928
pisinger2005/MB_C6_2,41374,41374,41374
pisinger2005/MB_C6_3,63336,63336,63336
pisinger2005/MB_C6_4,49956,49956,49956
pisinger2005/MB_C6_5,51038,51038,51038
pisinger2005/MB_C6_6,83080,83080,83080
pisinger2005/MB_C6_7,50052,50052,50052
pisinger2005/MB_C6_8,42570,42570,42570
pisinger2005/MB_C6_9,56956,56956,56956
pisinger2005/MB_C6_10,66483,66483,66483
pisinger2005/MB_C6_11,90000,90000,90000
pisinger2005/MB_C6_12,93736,90000,93736
pisinger2005/MB_C6_13,118908,118908,123294
pisinger2005/MB_C6_14,108664,106104,110794
pisinger2005/MB_C6_15,125780,119510,125780
pisinger2005/MB_C6_16,90000,90000,95931
pisinger2005/MB_C6_17,100284,92322,100284
pisinger2005/MB_C6_18,136960,125838,136960
pisinger2005/MB_C6_19,86592,86592,89238
pisinger2005/MB_C6_20,89362,85666,89362
pisinger2005/MB_C6_21,174988,170992,180000
pisinger2005/MB_C6_22,147715,146446,154232
pisinger2005/MB_C6_23,158344,155316,162778
pisinger2005/MB_C6_24,159152,157718,163568
pisinger2005/MB_C6_25,146232,146232,146232
pisinger2005/MB_C6_26,142675,142675,145856
pisinger2005/MB_C6_27,128764,124740,135982
pisinger2005/MB_C6_28,169944,162692,169944
pisinger2005/MB_C6_29,149313,145581,152712
pisinger2005/MB_C6_30,188994,183744,193671
pisinger2005/MB_C6_31,194290,190261,200619
pisinger2005/MB_C6_32,205180,202122,208238
pisinger2005/MB_C6_33,201096,195454,202601
pisinger2005/MB_C6_34,210030,206463,214076
pisinger2005/MB_C6_35,206832,197828,206896
pisinger2005/MB_C6_36,222921,219888,225954
pisinger2005/MB_C6_37,232779,227965,239568
pisinger2005/MB_C6_38,235532,228708,237798
pisinger2005/MB_C6_39,238962,234783,245457
pisinger2005/MB_C6_40,209382,205674,212314
pisinger2005/MB_C6_41,231897,226276,234922
pisinger2005/MB_C6_42,268995,262280,272009
pisinger2005/MB_C6_43,228450,222714,230760
pisinger2005/MB_C6_44,245178,240060,248276
pisinger2005/MB_C6_45,260300,257068,264500
pisinger2005/MB_C6_46,296856,290446,300192
pisinger2005/MB_C6_47,237151,231588,240718
pisinger2005/MB_C6_48,268928,263096,272160
pisinger2005/MB_C6_49,254553,249306,259125
pisinger2005/MB_C6_50,297998,292582,304540
pisinger2005/MB_C7_1,50000,43880,50000
pisinger2005/MB_C7_2,48720,39360,48720
pisinger2005/MB_C7_3,44743,39418,47079
pisinger2005/MB_C7_4,62804,51252,63466
pisinger2005/MB_C7_5,54831,46474,54831
pisinger2005/MB_C7_6,53221,43956,53221
pisinger2005/MB_C7_7,36888,32979,36888
pisinger2005/MB_C7_8,54861,46620,54861
pisinger2005/MB_C7_9,56620,48108,58450
pisinger2005/MB_C7_10,39812,34225,40000
pisinger2005/MB_C7_11,88825,83621,89320
pisinger2005/MB_C7_12,113400,103174,117984
pisinger2005/MB_C7_13,88429,83224,90169
pisinger2005/MB_C7_14,132272,111892,135672
pisinger2005/MB_C7_15,87492,78663,90306
pisinger2005/MB_C7_16,105056,95626,107932
pisinger2005/MB_C7_17,101400,90896,104874
pisinger2005/MB_C7_18,108983,95558,112977
pisinger2005/MB_C7_19,73721,69519,75442
pisinger2005/MB_C7_20,116511,102222,118911
pisinger2005/MB_C7_21,160560,146728,163424
pisinger2005/MB_C7_22,131980,123806,134930
pisinger2005/MB_C7_23,154360,140686,156759
pisinger2005/MB_C7_24,136822,128153,137572
pisinger2005/MB_C7_25,134946,121394,134946
pisinger2005/MB_C7_26,131443,121271,132583
pisinger2005/MB_C7_27,133188,124388,138329
pisinger2005/MB_C7_28,160710,145308,163206
pisinger2005/MB_C7_29,132638,127266,136554
pisinger2005/MB_C7_30,178730,162038,185520
pisinger2005/MB_C7_31,191794,179456,197008
pisinger2005/MB_C7_32,224610,209200,230478
pisinger2005/MB_C7_33,192880,177258,195610
pisinger2005/MB_C7_34,203287,184311,209614
pisinger2005/MB_C7_35,219237,196564,227810
pisinger2005/MB_C7_36,218683,191665,222308
pisinger2005/MB_C7_37,227628,206354,231988
pisinger2005/MB_C7_38,200577,188957,206308
pisinger2005/MB_C7_39,225342,197428,232896
pisinger2005/MB_C7_40,224677,203651,231666
pisinger2005/MB_C7_41,255847,235954,259668
pisinger2005/MB_C7_42,243251,232187,254479
pisinger2005/MB_C7_43,222981,207677,228214
pisinger2005/MB_C7_44,237824,225536,241447
pisinger2005/MB_C7_45,241467,215488,246072
pisinger2005/MB_C7_46,270124,247792,282962
pisinger2005/MB_C7_47,252092,228129,255844
pisinger2005/MB_C7_48,261642,243636,268918
pisinger2005/MB_C7_49,238753,225909,243260
pisinger2005/MB_C7_50,302759,272081,314288
pisinger2005/MB_C8_1,55462,48438,56558
pisinger2005/MB_C8_2,56286,46554,56286
pisinger2005/MB_C8_3,48712,44126,50000
pisinger2005/MB_C8_4,62271,50000,62271
pisinger2005/MB_C8_5,49781,41780,49781
pisinger2005/MB_C8_6,56058,47500,57500
pisinger2005/MB_C8_7,41970,34517,41970
pisinger2005/MB_C8_8,49471,44164,49471
pisinger2005/MB_C8_9,61036,49415,61036
pisinger2005/MB_C8_10,36888,31440,39496
pisinger2005/MB_C8_11,106655,95270,108615
pisinger2005/MB_C8_12,119441,106460,124836
pisinger2005/MB_C8_13,96734,89264,98616
pisinger2005/MB_C8_14,119628,99740,119628
pisinger2005/MB_C8_15,79965,72611,81122
pisinger2005/MB_C8_16,109677,94808,111995
pisinger2005/MB_C8_17,102189,88642,104115
pisinger2005/MB_C8_18,102912,91836,104077
pisinger2005/MB_C8_19,83252,77086,83252
pisinger2005/MB_C8_20,117043,105378,120339
pisinger2005/MB_C8_21,161760,145815,164584
pisinger2005/MB_C8_22,153192,143574,157712
pisinger2005/MB_C8_23,156524,140459,156524
pisinger2005/MB_C8_24,138956,124539,143556
pisinger2005/MB_C8_25,130099,121888,134109
pisinger2005/MB_C8_26,138427,129243,144891
pisinger2005/MB_C8_27,131250,121488,134011
pisinger2005/MB_C8_28,160800,147000,166540
pisinger2005/MB_C8_29,149438,136674,152242
pisinger2005/MB_C8_30,173392,149864,176176
pisinger2005/MB_C8_31,209196,183536,212688
pisinger2005/MB_C8_32,219798,193798,221739
pisinger2005/MB_C8_33,187680,173152,192668
pisinger2005/MB_C8_34,184728,171794,189784
pisinger2005/MB_C8_35,246740,219009,249310
pisinger2005/MB_C8_36,201326,187152,205001
pisinger2005/MB_C8_37,203088,189499,206605
pisinger2005/MB_C8_38,203824,194220,210444
pisinger2005/MB_C8_39,205190,188363,209902
pisinger2005/MB_C8_40,232896,208288,241696
pisinger2005/MB_C8_41,254820,227075,257470
pisinger2005/MB_C8_42,245042,228449,254807
pisinger2005/MB_C8_43,221944,206336,231344
pisinger2005/MB_C8_44,284324,254531,290377
pisinger2005/MB_C8_45,259609,240785,265874
pisinger2005/MB_C8_46,245807,225982,258184
pisinger2005/MB_C8_47,240566,225820,248856
pisinger2005/MB_C8_48,260200,245144,267844
pisinger2005/MB_C8_49,251603,234344,257319
pisinger2005/MB_C8_50,292430,273613,303485
pisinger2005/MB_C9_1,143764,111292,143764
pisinger2005/MB_C9_2,114280,90000,114280
pisinger2005/MB_C9_3,120198,91880,125378
pisinger2005/MB_C9_4,109967,87504,109967
pisinger2005/MB_C9_5,133314,98660,136348
pisinger2005/MB_C9_6,126154,98775,126154
pisinger2005/MB_C9_7,80404,65251,80404
pisinger2005/MB_C9_8,110351,84125,111501
pisinger2005/MB_C9_9,143828,140000,143828
pisinger2005/MB_C9_10,101646,77362,101696
pisinger2005/MB_C9_11,228013,162096,229558
pisinger2005/MB_C9_12,245606,185248,245606
pisinger2005/MB_C9_13,232584,185140,232584
pisinger2005/MB_C9_14,243592,187033,243592
pisinger2005/MB_C9_15,229658,190000,229658
pisinger2005/MB_C9_16,242438,183724,242516
pisinger2005/MB_C9_17,199906,157680,199906
pisinger2005/MB_C9_18,235274,180000,235976
pisinger2005/MB_C9_19,187028,149038,187028
pisinger2005/MB_C9_20,305530,240000,305530
pisinger2005/MB_C9_21,421320,350000,421320
pisinger2005/MB_C9_22,379304,292840,379448
pisinger2005/MB_C9_23,381891,296526,387592
pisinger2005/MB_C9_24,350621,262204,350621
pisinger2005/MB_C9_25,350410,280000,353542
pisinger2005/MB_C9_26,312872,241594,312872
pisinger2005/MB_C9_27,337596,247428,341516
pisinger2005/MB_C9_28,388055,279414,389422
pisinger2005/MB_C9_29,357044,269621,365888
pisinger2005/MB_C9_30,389890,288901,391184
pisinger2005/MB_C9_31,510290,400000,513738
pisinger2005/MB_C9_32,480999,360267,492283
pisinger2005/MB_C9_33,461038,350975,464030
pisinger2005/MB_C9_34,473754,360000,473754
pisinger2005/MB_C9_35,521570,386538,530258
pisinger2005/MB_C9_36,524158,372858,528930
pisinger2005/MB_C9_37,479428,384949,490259
pisinger2005/MB_C9_38,483264,368805,489074
pisinger2005/MB_C9_39,404206,331660,413032
pisinger2005/MB_C9_40,487286,389562,497224
pisinger2005/MB_C9_41,637304,520000,637304
pisinger2005/MB_C9_42,535810,430560,545204
pisinger2005/MB_C9_43,539599,418497,548530
pisinger2005/MB_C9_44,626091,475108,633562
pisinger2005/MB_C9_45,565632,480000,565632
pisinger2005/MB_C9_46,584024,459460,589496
pisinger2005/MB_C9_47,539114,415670,543444
pisinger2005/MB_C9_48,594015,466320,596875
pisinger2005/MB_C9_49,537372,434692,540420
pisinger2005/MB_C9_50,597500,486071,611938
pisinger2005/MB_C10_1,60000,60000,60000
pisinger2005/MB_C10_2,29240,24620,29240
pisinger2005/MB_C10_3,40000,36241,40000
pisinger2005/MB_C10_4,38786,34073,41713
pisinger2005/MB_C10_5,37488,32528,37488
pisinger2005/MB_C10_6,33657,30971,33657
pisinger2005/MB_C10_7,43446,40000,44488
pisinger2005/MB_C10_8,27290,19595,27290
pisinger2005/MB_C10_9,50000,44028,50000
pisinger2005/MB_C10_10,21288,20000,21288
pisinger2005/MB_C10_11,76075,70312,76075
pisinger2005/MB_C10_12,73960,66060,73960
pisinger2005/MB_C10_13,87088,79648,88544
pisinger2005/MB_C10_14,57936,54870,58624
pisinger2005/MB_C10_15,53382,50610,54290
pisinger2005/MB_C10_16,53632,49648,53944
pisinger2005/MB_C10_17,66789,60834,70000
pisinger2005/MB_C10_18,65074,61040,66985
pisinger2005/MB_C10_19,71412,67649,71412
pisinger2005/MB_C10_20,80088,71652,81448
pisinger2005/MB_C10_21,109570,103204,112620
pisinger2005/MB_C10_22,116070,108964,118630
pisinger2005/MB_C10_23,110000,102594,112563
pisinger2005/MB_C10_24,72186,69477,72186
pisinger2005/MB_C10_25,75460,72110,76422
pisinger2005/MB_C10_26,116998,111382,120398
pisinger2005/MB_C10_27,94110,89756,95724
pisinger2005/MB_C10_28,96193,89585,98897
pisinger2005/MB_C10_29,85000,79111,85152
pisinger2005/MB_C10_30,76742,73074,78122
pisinger2005/MB_C10_31,123579,117398,125746
pisinger2005/MB_C10_32,101251,97809,102124
pisinger2005/MB_C10_33,103864,101072,106792
pisinger2005/MB_C10_34,135254,129404,139243
pisinger2005/MB_C10_35,133584,127223,136049
pisinger2005/MB_C10_36,127788,122108,132764
pisinger2005/MB_C10_37,140000,133541,143123
pisinger2005/MB_C10_38,96041,93752,98509
pisinger2005/MB_C10_39,120415,115795,124500
pisinger2005/MB_C10_40,144198,133665,144449
pisinger2005/MB_C10_41,139696,135996,143111
pisinger2005/MB_C10_42,151866,146014,156480
pisinger2005/MB_C10_43,154012,149370,157465
pisinger2005/MB_C10_44,168928,161944,174826
pisinger2005/MB_C10_45,172680,164870,175572
pisinger2005/MB_C10_46,125686,121590,129174
pisinger2005/MB_C10_47,131542,128538,135015
pisinger2005/MB_C10_48,178099,170510,179737
pisinger2005/MB_C10_49,156365,150660,164856
pisinger2005/MB_C10_50,145778,141016,151812
